epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,779.295,0.87831,0.59326,1.29084,0.99364,0.99285,0.99212,0.79153,0.75259,0.43246,1.11796,0.00136994,0.00136994,0.00136994
56,792.415,0.85504,0.59734,1.27818,0.99351,0.99528,0.99219,0.84603,0.64794,0.41915,1.10596,0.00136444,0.00136444,0.00136444
57,805.172,0.81468,0.58332,1.2562,0.99489,0.99524,0.99215,0.86766,0.57605,0.37438,1.03663,0.00135894,0.00135894,0.00135894
58,817.855,0.80593,0.55366,1.23858,0.99461,0.99481,0.99288,0.85249,0.6072,0.38909,1.04125,0.00135344,0.00135344,0.00135344
59,830.61,0.7753,0.55548,1.21944,0.99458,0.99652,0.99269,0.84875,0.60864,0.38318,1.0351,0.00134794,0.00134794,0.00134794
60,843.385,0.77834,0.53604,1.20572,0.99425,0.99654,0.99132,0.85627,0.58569,0.37382,1.02967,0.00134244,0.00134244,0.00134244
61,856.699,0.7965,0.54111,1.20556,0.99396,0.98904,0.99296,0.85862,0.58468,0.40835,1.03749,0.00133693,0.00133693,0.00133693
62,869.461,0.84564,0.57753,1.27887,0.99401,0.99622,0.99136,0.83555,0.64456,0.38414,1.04817,0.00133143,0.00133143,0.00133143
63,882.253,0.81239,0.53319,1.23357,0.99313,0.99654,0.99079,0.86971,0.54676,0.37966,0.99603,0.00132593,0.00132593,0.00132593
64,895.319,0.73623,0.51449,1.18724,0.9944,0.99481,0.99188,0.86295,0.58852,0.40398,1.03496,0.00132043,0.00132043,0.00132043
65,908.318,0.73951,0.50332,1.18038,0.99062,0.99481,0.99221,0.8494,0.62441,0.38819,1.0429,0.00131493,0.00131493,0.00131493
66,921.864,0.77681,0.54342,1.19877,0.99369,0.99341,0.9941,0.86573,0.55473,0.39701,1.02041,0.00130943,0.00130943,0.00130943
67,933.828,0.78743,0.5524,1.22019,0.99382,0.98943,0.99141,0.87299,0.53623,0.36831,1.00535,0.00130393,0.00130393,0.00130393
68,946.942,0.73725,0.50769,1.19258,0.99469,0.99654,0.99384,0.87448,0.56093,0.34557,1.02257,0.00129843,0.00129843,0.00129843
69,959.52,0.73754,0.51412,1.19631,0.99471,0.99654,0.99325,0.87333,0.57359,0.36106,1.03952,0.00129293,0.00129293,0.00129293
70,972.286,0.73292,0.50505,1.17481,0.99499,0.9964,0.99303,0.88206,0.50778,0.34365,0.982,0.00128742,0.00128742,0.00128742
71,984.925,0.72839,0.4906,1.15995,0.99349,0.99654,0.99338,0.87834,0.52897,0.36012,0.99388,0.00128192,0.00128192,0.00128192
72,997.866,0.77455,0.51068,1.21925,0.99453,0.99654,0.993,0.88899,0.4892,0.34412,0.95714,0.00127642,0.00127642,0.00127642
73,1011.12,0.73275,0.49307,1.18166,0.99477,0.99654,0.99162,0.88231,0.51523,0.3493,0.97934,0.00127092,0.00127092,0.00127092
74,1023.61,0.70017,0.47014,1.15505,0.9932,0.99654,0.99202,0.8914,0.48665,0.33054,0.96207,0.00126542,0.00126542,0.00126542
75,1036.37,0.72894,0.4879,1.1733,0.99516,0.99481,0.994,0.88551,0.50439,0.34955,0.98302,0.00125992,0.00125992,0.00125992
76,1049.3,0.73326,0.49073,1.17928,0.99481,0.99597,0.99487,0.88024,0.53103,0.34947,0.98387,0.00125442,0.00125442,0.00125442
77,1062.08,0.73364,0.47997,1.15144,0.99349,0.99654,0.99276,0.88028,0.5151,0.35893,0.96855,0.00124892,0.00124892,0.00124892
78,1074.9,0.71004,0.46715,1.15515,0.99377,0.99654,0.99263,0.85594,0.60194,0.3612,1.0177,0.00124342,0.00124342,0.00124342
79,1088.19,0.71379,0.46818,1.17316,0.9889,0.99442,0.99367,0.87607,0.56002,0.32937,0.99035,0.00123791,0.00123791,0.00123791
80,1101.95,0.68413,0.45449,1.14578,0.99507,0.99481,0.99213,0.888,0.50629,0.3322,0.96207,0.00123241,0.00123241,0.00123241
81,1115.5,0.69599,0.44237,1.14622,0.99471,0.99481,0.99242,0.87634,0.55925,0.3337,0.99544,0.00122691,0.00122691,0.00122691
82,1128.26,0.6886,0.46657,1.14323,0.99501,0.99632,0.99432,0.88989,0.49882,0.3359,0.96222,0.00122141,0.00122141,0.00122141
83,1141.08,0.70111,0.46432,1.13068,0.99449,0.99654,0.99241,0.87649,0.51305,0.32515,0.9725,0.00121591,0.00121591,0.00121591
84,1154.62,0.69261,0.46117,1.14544,0.99379,0.99481,0.99266,0.86791,0.56001,0.34437,1.02664,0.00121041,0.00121041,0.00121041
85,1167.67,0.70042,0.46447,1.16646,0.99469,0.99654,0.99351,0.8889,0.49204,0.3246,0.95916,0.00120491,0.00120491,0.00120491
86,1180.26,0.68771,0.45845,1.14641,0.99387,0.99511,0.99428,0.87885,0.51582,0.3247,0.97798,0.00119941,0.00119941,0.00119941
87,1192.92,0.70304,0.46489,1.1563,0.99358,0.99377,0.9943,0.87153,0.568,0.34696,1.01316,0.00119391,0.00119391,0.00119391
88,1205.86,0.71041,0.46684,1.15776,0.99364,0.99625,0.99332,0.89601,0.47248,0.30557,0.95002,0.0011884,0.0011884,0.0011884
89,1220.39,0.69086,0.45591,1.15702,0.99513,0.99654,0.99342,0.89525,0.48404,0.3061,0.95568,0.0011829,0.0011829,0.0011829
90,1234.72,0.64996,0.44555,1.13772,0.99454,0.99654,0.99458,0.88171,0.51906,0.3232,0.98162,0.0011774,0.0011774,0.0011774
91,1248.18,0.67427,0.4402,1.12972,0.99482,0.99654,0.99397,0.88817,0.50271,0.3245,0.97772,0.0011719,0.0011719,0.0011719
92,1260.79,0.66481,0.44121,1.13095,0.99184,0.99654,0.99106,0.8963,0.45304,0.31691,0.93388,0.0011664,0.0011664,0.0011664
93,1274.05,0.65348,0.43567,1.11897,0.99396,0.99654,0.99232,0.89869,0.45569,0.31306,0.92993,0.0011609,0.0011609,0.0011609
94,1286.64,0.66912,0.44381,1.12026,0.99519,0.99654,0.99327,0.89048,0.48387,0.31382,0.96186,0.0011554,0.0011554,0.0011554
95,1299.4,0.67635,0.45741,1.12815,0.9956,0.99479,0.99462,0.89337,0.48674,0.30898,0.9474,0.0011499,0.0011499,0.0011499
96,1311.77,0.68097,0.44452,1.15033,0.98908,0.99556,0.99371,0.88415,0.49535,0.33364,0.94883,0.0011444,0.0011444,0.0011444
97,1325.05,0.64594,0.42711,1.11286,0.99287,0.99618,0.99318,0.8906,0.49085,0.30109,0.95076,0.00113889,0.00113889,0.00113889
